Kund;Jobb namn;Konfig;Lager;Berarbetning;Material;Antal;Fil URL;Material;Beskrivning;SW Config;Finnish
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12886.SLDPRT;MDF 2400 x 1220;Lucka under spis;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12887.SLDPRT;MDF 2400 x 1220;Lucka under soffa BB salong;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;4;C:\_PDM\Product data\Linjett 36\12888.SLDPRT;MDF 2400 x 1220;Lucka SB/BB skåp salong;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12889.SLDPRT;MDF 2400 x 1220;Lucka SB garderob förpik;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12890.SLDPRT;MDF 2400 x 1220;Lucka BB garderob förpik;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12891.SLDPRT;MDF 2400 x 1220;Lådfront under steg förpik;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;4;C:\_PDM\Product data\Linjett 36\12892.SLDPRT;MDF 2400 x 1220;Lucka överskåp förpik;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12893.SLDPRT;MDF 2400 x 1220;Lucka nav el-central;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12894.SLDPRT;MDF 2400 x 1220;Lucka överskåp toa;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12895.SLDPRT;MDF 2400 x 1220;Låda akter om handfat toa;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;2;C:\_PDM\Product data\Linjett 36\12896.SLDPRT;MDF 2400 x 1220;Lucka aktre överskåp B-hytt;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12897.SLDPRT;MDF 2400 x 1220;Lådor pentry;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;3;C:\_PDM\Product data\Linjett 36\12898.SLDPRT;MDF 2400 x 1220;Lådor hurts förpik;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;MDF 2400 x 1220;1;C:\_PDM\Product data\Linjett 36\12974.SLDPRT;MDF 2400 x 1220;Lucka överskåp aktre;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12248.SLDPRT;Ädel plywood 3050 x 1530;Aktre luckfront pentry;Default;A C s
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12250.SLDPRT;Ädel plywood 3050 x 1530;Pentry front soptunna;Default;A C s
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12252.SLDPRT;Ädel plywood 3050 x 1530;Främre skott pentry;Default;A C s
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12253.SLDPRT;Ädel plywood 3050 x 1530;Sockel spis;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12254.SLDPRT;Ädel plywood 3050 x 1530;Sockel soptunna;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12255.SLDPRT;Ädel plywood 3050 x 1530;Sockel diskhoar;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12256.SLDPRT;Ädel plywood 3050 x 1530;Sockel framför pentry;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12262.SLDPRT;Ädel plywood 3050 x 1530;Främre skott övre pentry;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12263.SLDPRT;Ädel plywood 3050 x 1530;Kojfront salong BB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12266.SLDPRT;Ädel plywood 3050 x 1530;Vinklad kojfront salong BB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12267.SLDPRT;Ädel plywood 3050 x 1530;Kortsida vinklad kojfront salong BB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12268.SLDPRT;Ädel plywood 3050 x 1530;Huvudskott salong BB skjutdörr Aktre;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12270.SLDPRT;Ädel plywood 3050 x 1530;Rygghylla BB salong;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12283.SLDPRT;Ädel plywood 3050 x 1530;Avdelare övrepentryskåp;Default;C C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12300.SLDPRT;Ädel plywood 3050 x 1530;skott förpik BB underskåp;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12302.SLDPRT;Ädel plywood 3050 x 1530;Top förpik BB underskåp;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;2;C:\_PDM\Product data\Linjett 36\12313.SLDPRT;Ädel plywood 3050 x 1530;Passbit förpik BB nedre front;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12316.SLDPRT;Ädel plywood 3050 x 1530;Skott garderob förpik SB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12317.SLDPRT;Ädel plywood 3050 x 1530;Passbit förpik BB övre front;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12318.SLDPRT;Ädel plywood 3050 x 1530;Främre sockel steg förpik;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12320.SLDPRT;Ädel plywood 3050 x 1530;Sidor steg förpik;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12320Mirror.SLDPRT;Ädel plywood 3050 x 1530;SB kojfront;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12323.SLDPRT;Ädel plywood 3050 x 1530;skott garderob förpik BB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12340.SLDPRT;Ädel plywood 3050 x 1530;Aktre skott salong överskåp BB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12354.SLDPRT;Ädel plywood 3050 x 1530;Huvudskott salong SB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12355.SLDPRT;Ädel plywood 3050 x 1530;Kojfront salong SB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12356.SLDPRT;Ädel plywood 3050 x 1530;Främre skott navbord;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12360.SLDPRT;Ädel plywood 3050 x 1530;Sockel navbord;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12367.SLDPRT;Ädel plywood 3050 x 1530;Huvudskott salong BB skjutdörr främre;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12417.SLDPRT;Ädel plywood 3050 x 1530;Skott B-hytt pentry;Default;A B
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12418.SLDPRT;Ädel plywood 3050 x 1530;Nedgångsskott BB;Default;A B
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12422.SLDPRT;Ädel plywood 3050 x 1530;Motorlucka nedgång framsida;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12423.SLDPRT;Ädel plywood 3050 x 1530;Sockel framför motor;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12432.SLDPRT;Ädel plywood 3050 x 1530;skiva övresteget nedgång;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12442.SLDPRT;Ädel plywood 3050 x 1530;Rygghylla SB salong;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12461.SLDPRT;Ädel plywood 3050 x 1530;Främre skott nav elskåp;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12465.SLDPRT;Ädel plywood 3050 x 1530;Kistfront B-hytt;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12469.SLDPRT;Ädel plywood 3050 x 1530;Toaskott mot nav;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12470.SLDPRT;Ädel plywood 3050 x 1530;Nedgångsskott SB;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12472.SLDPRT;Ädel plywood 3050 x 1530;Skott dörrhål toa;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12475.SLDPRT;Ädel plywood 3050 x 1530;Kojfront B-hytt;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12476.SLDPRT;Ädel plywood 3050 x 1530;Längsgående skott B-hytt;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12477.SLDPRT;Ädel plywood 3050 x 1530;Skott mott akterstuv B-hytt;Default;A E
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12497.SLDPRT;Ädel plywood 3050 x 1530;Förlängning över motorhuv;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12514.SLDPRT;Ädel plywood 3050 x 1530;Överskåp förpik främre bakdel;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12519.SLDPRT;Ädel plywood 3050 x 1530;Förpik överskåp botten BB;Default;C A
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12520.SLDPRT;Ädel plywood 3050 x 1530;Förpik överskåp botten SB;Default;C A
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12592.SLDPRT;Ädel plywood 3050 x 1530;Skott hyttgarderob akterut;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12702.SLDPRT;Ädel plywood 3050 x 1530;Aktre skott salong överskåp SB;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12708.SLDPRT;Ädel plywood 3050 x 1530;Dusch skott toa;Default;A Vit
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12709.SLDPRT;Ädel plywood 3050 x 1530;Front toa under handfat;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12710.SLDPRT;Ädel plywood 3050 x 1530;Front övre handfat toa;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12769.SLDPRT;Ädel plywood 3050 x 1530;Botten överskåp B-hytt;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;2;C:\_PDM\Product data\Linjett 36\12905.SLDPRT;Ädel plywood 3050 x 1530;sidor kista salongsbord;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12906.SLDPRT;Ädel plywood 3050 x 1530;Botten kista salongsbord;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12979.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering hytt BB stånde framkant;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12980.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering hytt BB liggande dyna;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12981.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering hytt BB liggande skarndäck;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;1;C:\_PDM\Product data\Linjett 36\12982.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering hytt BB liggande modul;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;4;C:\_PDM\Product data\Linjett 36\12983.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering salong liggande;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;4;C:\_PDM\Product data\Linjett 36\12984.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering salong stående;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;2;C:\_PDM\Product data\Linjett 36\12985.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering förpik liggande underst;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;2;C:\_PDM\Product data\Linjett 36\12986.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering förpik stående främre;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Ädel plywood 3050 x 1530;2;C:\_PDM\Product data\Linjett 36\12987.SLDPRT;Ädel plywood 3050 x 1530;Skrovgarnering förpik stående aktre;Default;
